hobby,嗜好
movie,電影
internet,網路
smartphone,智慧型手機
message,訊息
photo,照片
video,影片
travel,旅行
music,音樂
sport,運動
happy,快樂的
sad,傷心的
big,大的
small,小的
hot,熱的
cold,冷的
tall,高的
short,矮 / 短的
long,長的
new,新的
old,舊 / 老的
fast,快的
slow,慢的
hungry,餓的
thirsty,渴的
busy,忙碌的
tired,疲累的
smart,聰明的
kind,仁慈的
beautiful,美麗的
creative,有創意的
energetic,精力充沛的
responsible,負責任的
patient,有耐心的
brave,勇敢的
polite,有禮貌的
honest,誠實的
generous,慷慨的
curious,好奇的
independent,獨立的
turn left,左轉
turn right,右轉
go straight,直走
in,在...裡面
on,在...上面
under,在...下面
next to,在...旁邊
between,在...之間
behind,在...後面
in front of,在...前面
near,在...附近
above,在...上方
across from,在...對面
shirt,襯衫
T-shirt,T恤
pants,長褲
shorts,短褲
skirt,裙子
dress,洋裝
sweater,毛衣
jacket,夾克 / 外套
socks,襪子
shoes,鞋子
baseball,棒球
basketball,籃球
bathroom,浴室
beach,海灘
bear,熊
beautiful,漂亮的
because,因為
lobby,大廳
bedroom,臥房
bathroom,浴室
kitchen,廚房
living room,客廳
dining room,飯廳
garden,花園
garage,車庫
balcony,陽台
yard,庭院
have a picnic,野餐
go camping,露營
go hiking,健行
go swimming,游泳
go shopping,逛街
go jogging,慢跑
job,工作
doctor,醫生
nurse,護理師
teacher,老師
dancer,舞者
farmer,農夫
pilot,飛行員
writer,作家
driver,司機
singer,歌手
firefighter,消防員
police officer,警察
baseball player,棒球選手
reporter,記者
scientist,科學家
singer,歌手
YouTuber,影片創作者
engineer,工程師
want to be,想要成為...
bookstore,書店
library,圖書館
park,公園
post office,郵局
supermarket,超市
hospital,醫院
restaurant,餐廳
cooked dinner,煮晚餐
played basketball,玩籃球
stayed home,在家
visited a friend,找朋友
watched TV,看電視
cleaned the room,整理房間
listened to music,聽音樂
painted a picture,畫畫
last weekend,上週末
last Sunday,上個星期日
future,未來
this morning,今天早上
an hour ago,一個小時前
ten minutes ago,十分鐘前
at home,在家
at school,在學校
at the amusement park,在遊樂園
at the department store,在百貨公司
at the museum,在博物館
at the restaurant,在餐廳
by bus,搭公車
by car,坐車
by plane,搭飛機
by train,搭火車
by bike,騎腳踏車
by scooter,騎機車
on foot,走路
by MRT,搭捷運
notebook,筆記本
pencil case,鉛筆盒
school bag,書包
lunch bag,便當袋
glasses,眼鏡
umbrella,雨傘
water bottle,水壺
correction tape,立可帶
student book,課本
workbook,習作
holiday,假日
festival,節日
Lunar New Year,農曆新年
Children's Day,兒童節
Tomb Sweeping Day,清明節
Mother's Day,母親節
Dragon Boat Festival,端午節
Father's Day,父親節
Mid-Autumn Festival,中秋節
Double Tenth Day,雙十節
