sofa,沙發
couch,長沙發
armchair,單人沙發
recliner,躺椅
coffee table,咖啡桌
end table,茶几
side table,邊桌
console table,玄關桌
TV stand,電視櫃
entertainment center,電視牆櫃
bookshelf,書架
bookcase,書櫃
dining table,餐桌
dining chair,餐椅
bar stool,吧檯椅
bed,床
mattress,床墊
nightstand,床頭櫃
bedside table,床邊桌
dresser,梳妝台
chest of drawers,五斗櫃
wardrobe,衣櫥
closet,衣帽間
vanity,化妝台
headboard,床頭板
footboard,床尾板
bunk bed,雙層床
desk,書桌
office chair,辦公椅
filing cabinet,公文櫃
bench,長凳
ottoman,沙發凳
futon,折疊沙發床
rocking chair,搖椅
stool,凳子
bean bag,懶骨頭
credenza,餐具櫃
sideboard,備餐檯
buffet,自助餐檯
cabinet,櫥櫃
cupboard,碗櫥
pantry,食品儲藏櫃
highchair,兒童高腳椅
crib,嬰兒床
bassinet,搖籃
changing table,尿布台
playpen,遊戲圍欄
patio table,露台桌
patio chair,露台椅
deck chair,戶外躺椅
sun lounger,日光浴躺椅
hammock,吊床
umbrella,陽傘
coat rack,衣帽架
shoe rack,鞋架
umbrella stand,傘架
room divider,屏風
mirror,鏡子
rug,地毯
carpet,滿鋪地毯
lamp,檯燈
floor lamp,立燈
chandelier,吊燈
ceiling fan,吊扇
curtains,窗簾
blinds,百葉窗
shelves,層架
floating shelf,懸浮層架
display cabinet,展示櫃
wine rack,酒架
kitchen island,中島吧檯
cart,推車
trunk,儲物箱
hope chest,木箱
folding chair,摺疊椅
folding table,摺疊桌
card table,牌桌
safe,保險箱
ironing board,燙衣板
wastebasket,廢紙簍
trash can,垃圾桶
laundry basket,洗衣籃
hamper,附蓋洗衣籃
fireplace,壁爐
mantel,壁爐架
radiator,暖氣機
window seat,窗台座位
banquette,靠牆長椅
tatami,榻榻米
canopy bed,四柱床
murphy bed,掀床
daybed,坐臥兩用床
loft bed,高架床
swivel chair,旋轉椅
gaming chair,電競椅
massage chair,按摩椅
drafting table,製圖桌
standing desk,升降桌
sewing table,縫紉桌
grandfather clock,老爺鐘
